Temperature,Capacity
57.9,224.5
57.7,226.4
57.4,231.5
57.1,237.6
56.9,242.1
56.6,249.0
56.4,253.3
56.2,259.7
56.0,267.0
55.7,276.4
55.4,284.9
55.1,297.3
54.8,307.1
54.5,320.4
54.2,335.5
53.9,352.9
53.6,371.0
53.2,395.7
52.9,418.8
52.7,435.7
52.4,464.2
52.0,512.0
51.7,560.6
51.3,618.0
51.0,700.7
50.7,786.7
50.3,952.8
50.0,1112.0
49.7,1413.5
49.6,1576.5
49.4,1999.2
49.3,2527.0
49.1,2619.0
49.0,2503.0
48.9,2377.0
48.7,2214.0
48.5,2059.0
48.4,1975.3
48.3,1903.8
48.1,1836.8
48.0,1795.6
47.9,1757.0
47.8,1706.0
47.6,1659.3
47.4,1599.9
47.3,1570.6
47.1,1527.8
47.0,1499.9
46.8,1468.0
46.6,1432.0
46.5,1413.3
46.3,1377.5
46.1,1345.9
46.0,1328.8
45.9,1317.7
45.8,1299.5
45.6,1280.1
45.6,1258.4
45.3,1238.3
45.2,1226.0
45.0,1203.7
44.9,1190.1
44.7,1172.0
44.6,1156.2
44.5,1147.6
44.4,1140.4
44.3,1128.7
44.2,1119.7
44.0,1103.8
43.9,1093.6
43.7,1077.5
43.6,1064.6
43.5,1056.9
43.3,1045.6
43.2,1035.3
43.1,1027.3
43.0,1018.3
42.9,1013.6
42.7,1003.1
42.6,994.2
42.3,975.3
42.2,965.8
42.1,959.5
42.0,949.5
41.9,945.8
41.8,937.6
41.6,928.4
41.5,920.5
41.4,914.9
41.3,909.8
41.1,900.9
41.0,893.2
40.9,887.1
40.8,881.4
40.7,876.0
40.6,872.6
40.5,863.6
40.4,858.7
40.3,853.9
40.2,849.3
40.1,844.9
40.0,840.8
39.9,836.6
39.7,827.0
39.6,821.5
39.5,817.1
