Temperature,Capacity,Temperature [K],Capacity [F],Epsilon,1/Epsilon
57.9,224.5,331.04999999999995,2.245e-10,313.37992167798853,0.003191014901801984
57.7,226.4,330.84999999999997,2.264e-10,316.03213482359286,0.003164235183103116
57.4,231.5,330.54999999999995,2.315e-10,323.1512332670572,0.003094526330257216
57.1,237.6,330.25,2.376e-10,331.66623336610274,0.003015079315886134
56.9,242.1,330.04999999999995,2.4209999999999997e-10,337.94779081621834,0.002959036949419849
56.6,249.0,329.75,2.49e-10,347.5795122397289,0.0028770395399780944
56.4,253.3,329.54999999999995,2.533e-10,353.58188935872823,0.0028281991529986003
56.2,259.7,329.34999999999997,2.597e-10,362.5156599544482,0.0027585015227360237
56.0,267.0,329.15,2.67e-10,372.7057420401913,0.002683081818181818
55.7,276.4,328.84999999999997,2.764e-10,385.8272176026549,0.0025918337389817126
55.4,284.9,328.54999999999995,2.8489999999999997e-10,397.6923816750954,0.0025145063020517566
55.1,297.3,328.25,2.973e-10,415.00156220430284,0.0024096294835336206
54.8,307.1,327.95,3.071e-10,428.681398428999,0.0023327347621444005
54.5,320.4,327.65,3.2039999999999995e-10,447.2468904482294,0.0022359015151515154
54.2,335.5,327.34999999999997,3.355e-10,468.32500544750616,0.0021352692860046067
53.9,352.9,327.04999999999995,3.529e-10,492.6136942546198,0.0020299882274144106
53.6,371.0,326.75,3.71e-10,517.8795142206403,0.0019309510659152166
53.2,395.7,326.34999999999997,3.957e-10,552.3582851134969,0.0018104191191674133
52.9,418.8,326.04999999999995,4.188e-10,584.6036133574236,0.0017105607580098984
52.7,435.7,325.84999999999997,4.357e-10,608.1943513367465,0.0016442112587894088
52.4,464.2,325.54999999999995,4.6419999999999996e-10,647.9775485208119,0.001543263346519917
52.0,512.0,325.15,5.12e-10,714.7016476575952,0.001399185245028409
51.7,560.6,324.84999999999997,5.606e-10,782.5424681188434,0.0012778859176855967
51.3,618.0,324.45,6.18e-10,862.6672231492067,0.0011591955428067078
51.0,700.7,324.15,7.007000000000001e-10,978.1082900657755,0.001022381683251813
50.7,786.7,323.84999999999997,7.867e-10,1098.155832445762,0.000910617573985694
50.3,952.8,323.45,9.527999999999999e-10,1330.015097437806,0.0007518711644149302
50.0,1112.0,323.15,1.1119999999999999e-09,1552.2426410063392,0.0006442291775670374
49.7,1413.5,322.84999999999997,1.4135e-09,1973.1069901640835,0.000506814888896035
49.6,1576.5,322.75,1.5764999999999999e-09,2200.638960023826,0.0004544134763428769
49.4,1999.2,322.54999999999995,1.9992e-09,2790.686589838016,0.0003583347566299247
49.3,2527.0,322.45,2.527e-09,3527.4434836537953,0.0002834914307299349
49.1,2619.0,322.25,2.6189999999999997e-09,3655.866435967269,0.0002735329688638967
49.0,2503.0,322.15,2.503e-09,3493.9418439198457,0.0002862096865579486
48.9,2377.0,322.04999999999995,2.377e-09,3318.0582353166087,0.00030138108769648525
48.7,2214.0,321.84999999999997,2.214e-09,3090.526265456867,0.0003235694875585119
48.5,2059.0,321.65,2.059e-09,2874.1615088417743,0.00034792755971566075
48.4,1975.3,321.54999999999995,1.9753e-09,2757.324540269625,0.0003626704021943732
48.3,1903.8,321.45,1.9038e-09,2657.517571895566,0.00037629102082915503
48.1,1836.8,321.25,1.8368e-09,2563.9921609716225,0.00039001679303927783
48.0,1795.6,321.15,1.7955999999999999e-09,2506.481012761675,0.00039896571923287236
47.9,1757.0,321.04999999999995,1.757e-09,2452.59920885624,0.00040773070316138044
47.8,1706.0,320.95,1.706e-09,2381.408224421596,0.0004199196046040713
47.6,1659.3,320.75,1.6592999999999998e-09,2316.2196171059522,0.0004317379891849247
